Frame,PointIndex,X,Y
0,0,315.9231873,186.1595001
0,1,464.6408691,176.7451172
0,2,611.3060303,165.8725586
0,3,759.8253174,155.4564209
0,4,906.4851074,149.0713196
0,5,1052.333252,139.6801605
0,6,1197.68689,130.6829376
0,7,1341.996704,120.0442276
0,8,314.1972961,325.3714294
0,9,465.4777222,316.6824341
0,10,616.3695679,305.5148315
0,11,767.1871948,295.6546936
0,12,916.8323975,286.0247192
0,13,1064.799316,277.942688
0,14,1213.397095,267.4237976
0,15,1359.483521,257.9588928
0,16,313.3372192,472.6903687
0,17,467.2553406,461.7489319
0,18,620.7027588,450.9409485
0,19,775.2692871,439.8544312
0,20,927.2365723,430.5184937
0,21,1078.698975,420.2249451
0,22,1229.512207,410.0168457
0,23,1379.312988,398.9669189
0,24,314.0821228,625.5393677
0,25,468.3726807,614.3326416
0,26,625.5509644,602.0585938
0,27,782.8912964,591.4302368
0,28,938.4985352,580.1031494
0,29,1092.753418,569.7792969
0,30,1247.465942,557.5465698
0,31,1400.232544,546.8109741
0,32,316.2843933,783.4057007
0,33,472.6892395,771.4920654
0,34,631.1216431,760.2341309
0,35,791.2140503,747.5037231
0,36,949.6893311,736.0904541
0,37,1107.549438,723.736084
0,38,1265.106812,712.3529053
0,39,1421.600708,699.6512451
0,40,322.388031,944.0279541
0,41,479.7145996,933.5048218
0,42,638.9631348,921.8551636
0,43,800.2053833,910.6289062
0,44,961.6079712,897.7250977
0,45,1122.66626,885.5236816
0,46,1284.318604,872.4748535
0,47,1443.234985,859.980835
1,0,465.899231,211.3418884
1,1,604.7982788,210.3714905
1,2,743.2694092,210.7183685
1,3,878.994873,213.6142578
1,4,1012.5,214.9237671
1,5,1144.771484,215.0865631
1,6,1274.588013,214.8574677
1,7,1402.651855,215.1298218
1,8,458.2342224,338.7825928
1,9,601.145813,337.8686829
1,10,742.9797974,336.9184875
1,11,881.8466187,337.5268555
1,12,1018.264343,338.5542908
1,13,1153.393555,338.4037781
1,14,1285.915283,337.6790771
1,15,1416.571899,337.2385254
1,16,450.0491943,472.8758545
1,17,596.7298584,470.5718079
1,18,742.5551758,469.2786865
1,19,884.828186,468.7906494
1,20,1024.662109,468.1069336
1,21,1163.167236,466.5842285
1,22,1298.390137,465.2450256
1,23,1432.713867,463.4344788
1,24,441.4776001,614.2791138
1,25,592.2502441,611.1983643
1,26,742.0159912,608.7863159
1,27,887.8880615,606.8447876
1,28,1031.487671,604.4639282
1,29,1173.579712,601.6766357
1,30,1313.144775,598.7979126
1,31,1451.054321,595.9966431
1,32,434.9398499,763.5028687
1,33,588.1221313,759.2659302
1,34,741.2328491,754.899292
1,35,891.1315918,751.2037354
1,36,1038.601074,747.5005493
1,37,1184.404297,743.7119751
1,38,1327.305298,739.8753662
1,39,1468.116089,735.8186035
1,40,430.7302856,918.9059448
1,41,585.4213257,914.291748
1,42,740.8535156,909.1826782
1,43,894.5458374,903.6608887
1,44,1046.093506,898.3737793
1,45,1196.006348,893.3319092
1,46,1342.730957,888.1754761
1,47,1486.387817,882.5709839
2,0,465.899231,211.3418884
2,1,604.7982788,210.3714905
2,2,743.2694092,210.7183685
2,3,878.994873,213.6142578
2,4,1012.5,214.9237671
2,5,1144.771484,215.0865631
2,6,1274.588013,214.8574677
2,7,1402.651855,215.1298218
2,8,458.2342224,338.7825928
2,9,601.145813,337.8686829
2,10,742.9797974,336.9184875
2,11,881.8466187,337.5268555
2,12,1018.264343,338.5542908
2,13,1153.393555,338.4037781
2,14,1285.915283,337.6790771
2,15,1416.571899,337.2385254
2,16,450.0491943,472.8758545
2,17,596.7298584,470.5718079
2,18,742.5551758,469.2786865
2,19,884.828186,468.7906494
2,20,1024.662109,468.1069336
2,21,1163.167236,466.5842285
2,22,1298.390137,465.2450256
2,23,1432.713867,463.4344788
2,24,441.4776001,614.2791138
2,25,592.2502441,611.1983643
2,26,742.0159912,608.7863159
2,27,887.8880615,606.8447876
2,28,1031.487671,604.4639282
2,29,1173.579712,601.6766357
2,30,1313.144775,598.7979126
2,31,1451.054321,595.9966431
2,32,434.9398499,763.5028687
2,33,588.1221313,759.2659302
2,34,741.2328491,754.899292
2,35,891.1315918,751.2037354
2,36,1038.601074,747.5005493
2,37,1184.404297,743.7119751
2,38,1327.305298,739.8753662
2,39,1468.116089,735.8186035
2,40,430.7302856,918.9059448
2,41,585.4213257,914.291748
2,42,740.8535156,909.1826782
2,43,894.5458374,903.6608887
2,44,1046.093506,898.3737793
2,45,1196.006348,893.3319092
2,46,1342.730957,888.1754761
2,47,1486.387817,882.5709839
3,0,465.899231,211.3418884
3,1,604.7982788,210.3714905
3,2,743.2694092,210.7183685
3,3,878.994873,213.6142578
3,4,1012.5,214.9237671
3,5,1144.771484,215.0865631
3,6,1274.588013,214.8574677
3,7,1402.651855,215.1298218
3,8,458.2342224,338.7825928
3,9,601.145813,337.8686829
3,10,742.9797974,336.9184875
3,11,881.8466187,337.5268555
3,12,1018.264343,338.5542908
3,13,1153.393555,338.4037781
3,14,1285.915283,337.6790771
3,15,1416.571899,337.2385254
3,16,450.0491943,472.8758545
3,17,596.7298584,470.5718079
3,18,742.5551758,469.2786865
3,19,884.828186,468.7906494
3,20,1024.662109,468.1069336
3,21,1163.167236,466.5842285
3,22,1298.390137,465.2450256
3,23,1432.713867,463.4344788
3,24,441.4776001,614.2791138
3,25,592.2502441,611.1983643
3,26,742.0159912,608.7863159
3,27,887.8880615,606.8447876
3,28,1031.487671,604.4639282
3,29,1173.579712,601.6766357
3,30,1313.144775,598.7979126
3,31,1451.054321,595.9966431
3,32,434.9398499,763.5028687
3,33,588.1221313,759.2659302
3,34,741.2328491,754.899292
3,35,891.1315918,751.2037354
3,36,1038.601074,747.5005493
3,37,1184.404297,743.7119751
3,38,1327.305298,739.8753662
3,39,1468.116089,735.8186035
3,40,430.7302856,918.9059448
3,41,585.4213257,914.291748
3,42,740.8535156,909.1826782
3,43,894.5458374,903.6608887
3,44,1046.093506,898.3737793
3,45,1196.006348,893.3319092
3,46,1342.730957,888.1754761
3,47,1486.387817,882.5709839
4,0,465.899231,211.3418884
4,1,604.7982788,210.3714905
4,2,743.2694092,210.7183685
4,3,878.994873,213.6142578
4,4,1012.5,214.9237671
4,5,1144.771484,215.0865631
4,6,1274.588013,214.8574677
4,7,1402.651855,215.1298218
4,8,458.2342224,338.7825928
4,9,601.145813,337.8686829
4,10,742.9797974,336.9184875
4,11,881.8466187,337.5268555
4,12,1018.264343,338.5542908
4,13,1153.393555,338.4037781
4,14,1285.915283,337.6790771
4,15,1416.571899,337.2385254
4,16,450.0491943,472.8758545
4,17,596.7298584,470.5718079
4,18,742.5551758,469.2786865
4,19,884.828186,468.7906494
4,20,1024.662109,468.1069336
4,21,1163.167236,466.5842285
4,22,1298.390137,465.2450256
4,23,1432.713867,463.4344788
4,24,441.4776001,614.2791138
4,25,592.2502441,611.1983643
4,26,742.0159912,608.7863159
4,27,887.8880615,606.8447876
4,28,1031.487671,604.4639282
4,29,1173.579712,601.6766357
4,30,1313.144775,598.7979126
4,31,1451.054321,595.9966431
4,32,434.9398499,763.5028687
4,33,588.1221313,759.2659302
