Frame,PointIndex,X,Y,Z
0,0,0,0,0
0,1,1,0,0
0,2,2,0,0
0,3,3,0,0
0,4,4,0,0
0,5,5,0,0
0,6,6,0,0
0,7,7,0,0
0,8,0,-1,0
0,9,1,-1,0
0,10,2,-1,0
0,11,3,-1,0
0,12,4,-1,0
0,13,5,-1,0
0,14,6,-1,0
0,15,7,-1,0
0,16,0,-2,0
0,17,1,-2,0
0,18,2,-2,0
0,19,3,-2,0
0,20,4,-2,0
0,21,5,-2,0
0,22,6,-2,0
0,23,7,-2,0
0,24,0,-3,0
0,25,1,-3,0
0,26,2,-3,0
0,27,3,-3,0
0,28,4,-3,0
0,29,5,-3,0
0,30,6,-3,0
0,31,7,-3,0
0,32,0,-4,0
0,33,1,-4,0
0,34,2,-4,0
0,35,3,-4,0
0,36,4,-4,0
0,37,5,-4,0
0,38,6,-4,0
0,39,7,-4,0
0,40,0,-5,0
0,41,1,-5,0
0,42,2,-5,0
0,43,3,-5,0
0,44,4,-5,0
0,45,5,-5,0
0,46,6,-5,0
0,47,7,-5,0
1,0,0,0,0
1,1,1,0,0
1,2,2,0,0
1,3,3,0,0
1,4,4,0,0
1,5,5,0,0
1,6,6,0,0
1,7,7,0,0
1,8,0,-1,0
1,9,1,-1,0
1,10,2,-1,0
1,11,3,-1,0
1,12,4,-1,0
1,13,5,-1,0
1,14,6,-1,0
1,15,7,-1,0
1,16,0,-2,0
1,17,1,-2,0
1,18,2,-2,0
1,19,3,-2,0
1,20,4,-2,0
1,21,5,-2,0
1,22,6,-2,0
1,23,7,-2,0
1,24,0,-3,0
1,25,1,-3,0
1,26,2,-3,0
1,27,3,-3,0
1,28,4,-3,0
1,29,5,-3,0
1,30,6,-3,0
1,31,7,-3,0
1,32,0,-4,0
1,33,1,-4,0
1,34,2,-4,0
1,35,3,-4,0
1,36,4,-4,0
1,37,5,-4,0
1,38,6,-4,0
1,39,7,-4,0
1,40,0,-5,0
1,41,1,-5,0
1,42,2,-5,0
1,43,3,-5,0
1,44,4,-5,0
1,45,5,-5,0
1,46,6,-5,0
1,47,7,-5,0
2,0,0,0,0
2,1,1,0,0
2,2,2,0,0
2,3,3,0,0
2,4,4,0,0
2,5,5,0,0
2,6,6,0,0
2,7,7,0,0
2,8,0,-1,0
2,9,1,-1,0
2,10,2,-1,0
2,11,3,-1,0
2,12,4,-1,0
2,13,5,-1,0
2,14,6,-1,0
2,15,7,-1,0
2,16,0,-2,0
2,17,1,-2,0
2,18,2,-2,0
2,19,3,-2,0
2,20,4,-2,0
2,21,5,-2,0
2,22,6,-2,0
2,23,7,-2,0
2,24,0,-3,0
2,25,1,-3,0
2,26,2,-3,0
2,27,3,-3,0
2,28,4,-3,0
2,29,5,-3,0
2,30,6,-3,0
2,31,7,-3,0
2,32,0,-4,0
2,33,1,-4,0
2,34,2,-4,0
2,35,3,-4,0
2,36,4,-4,0
2,37,5,-4,0
2,38,6,-4,0
2,39,7,-4,0
2,40,0,-5,0
2,41,1,-5,0
2,42,2,-5,0
2,43,3,-5,0
2,44,4,-5,0
2,45,5,-5,0
2,46,6,-5,0
2,47,7,-5,0
3,0,0,0,0
3,1,1,0,0
3,2,2,0,0
3,3,3,0,0
3,4,4,0,0
3,5,5,0,0
3,6,6,0,0
3,7,7,0,0
3,8,0,-1,0
3,9,1,-1,0
3,10,2,-1,0
3,11,3,-1,0
3,12,4,-1,0
3,13,5,-1,0
3,14,6,-1,0
3,15,7,-1,0
3,16,0,-2,0
3,17,1,-2,0
3,18,2,-2,0
3,19,3,-2,0
3,20,4,-2,0
3,21,5,-2,0
3,22,6,-2,0
3,23,7,-2,0
3,24,0,-3,0
3,25,1,-3,0
3,26,2,-3,0
3,27,3,-3,0
3,28,4,-3,0
3,29,5,-3,0
